,Unnamed: 0,name_dpo,title,url,author,publisher,issued,publisher_classification,description,tags,license_id,license_url,place,location,country,language,status,metadatacreated,generator,api_endpoint,api_type_dpo,full_metadata_download,status_code_dpo,name_wu,api_url,api_type_wu,status_code_wu
10,157,data-gov-ro,Data.Gov.RO - Official Romanian OD Portal,http://data.gov.ro,Andrei Nicoara,Prime Minister Cancellary,01/09/2013,Government,Romania national portal for central government institutions.,romania national,Other (Open),,"Bucharest, Romania","44.4378258,26.0946376",RO,ro,active,,,,CKAN,,200,data.gov.ro,http://data.gov.ro/catalog.ttl,CKANDCAT,200
11,361,open-colorado,Open Colorado,http://data.opencolorado.org/,Colorado Smart Communities,Colorado Smart Communities,,,"Community-led collection of State data.

Facilitator: Sean Hudson / Colorado Smart Communities

Runs CKAN with custom theme.",government ckan unitedstates,odc-odbl,,"Colorado, United States","38.7251776,-105.6077167",US,en,active,2012-02-01T16:51:53.474Z,,,,,200,data.opencolorado.org,http://data.opencolorado.org/,CKAN,200
12,138,data_openpolice_ru,data.openpolice.ru,http://data.openpolice.ru/,Russian Federation,Russian Federation,,,"Data portal for Open Police project, Russia",ckan russia,,,Russia,"64.6863136,97.7453061",RU,ru,active,2013-03-14T16:43:20.917Z,,,,,200,data.openpolice.ru,http://data.openpolice.ru/,CKAN,200
13,360,open_virginia,Open Virginia,http://data.openva.com/,Waldo Jaquith,Waldo Jaquith,,,"Open Virginia is an effort to document the open government data published about the Commonwealth of Virginia—APIs, bulk downloads, and links to third-party data sources that provide much-needed information about how our government works.

Open Virginia is run by Waldo Jaquith. It is not a product of the Commonwealth of Virginia, nor does it have any affiliation with the state government.",virginia ckan unitedstates,,,"Virginia, United States","37.1232245,-78.4927721",US,en,active,2013-06-21T08:02:50.642Z,,,,,0,data.openva.com,http://data.openva.com/,CKAN,200
14,405,ottawa_ca,"Ottawa, Ontario",http://data.ottawa.ca/,City of Ottawa,City of Ottawa,,,"You may send feedback via [email](mailto:opendata@ottawa.ca) or [webform](https://ottawa.ca/cgi-bin/form.cgi?dir=opendata&form=form_en) and [request datasets](http://www.dataott.org/app/). Adapted the [Vancouver license](http://www.ottawa.ca/en/city_hall/statisticsdata/opendata/terms/index.htm).

Short URL: http://ottawa.ca/opendata",ctic level.local ckan canada,,,"Ottawa, Ontario","45.4210328,-75.6900219",CA,en,active,2011-06-27T18:15:02.535Z,,,,,200,data.ottawa.ca,http://data.ottawa.ca/,CKAN,200
15,165,data-taina---official-tainan-city-government-portal,Data.Taina - Official Tainan City Government Portal,http://data.tainan.gov.tw/,Jet,,01/04/2014,Government,Open data portal for Tainan City Government in Taiwan,,Other (Open),,"Tainan, Taiwan","23.1510076,120.0656741",TW,zh,active,,,,,,200,data.tainan.gov.tw,http://data.tainan.gov.tw/,CKAN,200
16,486,the-data-hub,the Data Hub,http://datahub.io/,Open Knowledge Foundation,Open Knowledge Foundation,,,"An openly editable registry for open data (and a few closed ones).

CKAN makes it easy to find, share and reuse open content and data, especially in ways that are machine automatable.

Includes more than 3000 datasets, including the metadata of all the Linked Open Data used to draw the [LOD Cloud](http://lod-cloud.net/)

A flagship install of the [CKAN software](http://ckan.org/).

The original community catalogue, running since 2007.

Previously known as ckan.net.

Maintainers: Rufus Pollock, Friedrich Lindenberg, Richard Cyganiak, David Read",ckan,odc-odbl,,Global,"43.7283874,-79.34914869",UK CA AU gr hu lt si NL md,en de fr it es pl ru nl sv no cs hu pt fi bg ca sq sr,active,2011-12-20T10:01:09.911Z,,,,,200,datahub.io,http://datahub.io/,CKAN,200
17,442,rheinland-pfalz,Open-Government-Data-Portal Rheinland-Pfalz,http://daten.rlp.de/,Rheinland Pfalz,Rheinland Pfalz,01/03/2013,Government,The portal combines data from settlements within Rheinland-Pfalz (a state of Germany) with data specific to the state itself.,level.regional ckan eu-official germany,other-open,http://daten.rlp.de/faq,"Rheinland-Pfalz, Germany","49.7497346,7.4396553",DE,de,active,2013-03-05T21:40:57.873Z,CKAN,http://www.daten.rlp.de/api,"CKAN API V1, 2, 3 (beta)",https://raw.githubusercontent.com/okfde/odm-datenerfassung/master/metadata/rheinlandpfalz/catalog.json,0,daten.rlp.de,http://www.daten.rlp.de/,CKAN,0
18,492,toscana,Open Data Regione Toscana,http://dati.toscana.it/,Regione Toscana,Regione Toscana,,,"Official Open Data portal for the region of Toscana (Tuscany), Italy.",ckan eu-official italy,,,"Toscana (Tuscany), Italy","43.7215969,10.3969338",IT,it,active,2012-07-30T10:56:21.943Z,,,,,200,dati.toscana.it,http://dati.toscana.it/,CKAN,0
19,353,open_data_trentino,Open Data Trentino,http://dati.trentino.it/,Provincia Autonoma di Trento,Provincia Autonoma di Trento,,,"Open Data Portal for Trentino, Italy",level.regional ckan italy,cc-by,,"Provincia Autonoma di Trento, Italy","46.102869,11.12961993",IT,it,active,2013-03-20T20:34:32.849Z,,,,,200,dati.trentino.it,http://dati.trentino.it/,CKAN,200
20,181,dati_veneto_it,dati.veneto.it,http://dati.veneto.it/,Direzione Sistemi Informativi di Regione del Veneto,Direzione Sistemi Informativi di Regione del Veneto,,,"Data portal for the Veneto region, Italy",level.regional italy,,,"Veneto, Italy","45.6476663,11.8665254",IT,it,active,2013-03-14T16:21:33.397Z,,,,,200,dati.veneto.it,http://dati.veneto.it/,CKAN,200
21,312,mxabierto-github-io_ng-ckan,datos.gob.mx - Sitio oficial de datos abiertos del Gobierno de la República,http://datos.gob.mx/,Rodolfo Wilhelmy,"Rodolfo Wilhelmy, Director of Open Data",07/07/2014,Government,"DATOS.GOB.MX is the open data portal of the federal government of Mexico.

In addition to providing a data catalog, the site promotes the use of data by sharing success stories of open data projects and tools for exploring data.",mexico federal,Other (Open),http://datos.gob.mx/libreusomx/,Mexico,"23.6260333,-102.5375005",MX,es,active,,,,,,0,datos.gob.mx,http://catalogo.datos.gob.mx/,unknown,0
22,25,ayuntamiento-de-malaga,Portal Datos Abiertos Ayuntamiento de Málaga,http://datosabiertos.malaga.eu/,Ayuntamiento de Málaga,Ayuntamiento de Málaga,,Government,Portal Datos Abiertos Ayuntamiento de Málaga,city spain,,,Malaga,"36.7194, 4.4200",ES,es,active,,CKAN,,CKAN API,,200,datosabiertos.malaga.eu,http://datosabiertos.malaga.eu/,CKAN,200
23,193,datospublicos-org,DatosPublicos.org,http://datospublicos.org/,http://garagelab.tumblr.com/,http://garagelab.tumblr.com/,,,"DatosPublicos.org is a catalogue where users can share and register, and also search, access, download, reuse, and redistribute information published by state agencies directly or by others based on information they provide.

DatosPublicos.org es un catálogo a partir del cual los usuarios puedan compartir y referenciar, pero también buscar, acceder, descargar, reutilizar y redistribuir la información que los propios organismos del Estado, u otros agentes en base a la información proporcionada a aquellos, ponen a disposición del público.",community government lang.es ckan,odc-odbl,,South America,"-20.9999998,-61.0000002",,es,active,2011-12-13T09:34:16.86Z,,,,,200,datospublicos.org,http://datospublicos.org/,CKAN,200
24,513,ville_montreal_qc_ca,"Montréal, Québec",http://donnees.ville.montreal.qc.ca/,Ville de Montréal,Ville de Montréal,,,"By opening its data at all, the Ville de Montréal allows them to be reused for different purposes, including commercial purposes. The results of this reuse can then be shared in the community, creating a multiplier effect. Data released and reused thus generate benefits both in the economic, cultural, social and technological.
Open since October 2011
Adapted open license type [CC BY] (http://donnees.ville.montreal.qc.ca/licence)",archive bike by-law demography environment level.local library-catalog municipal park parking photograph population statistics traffic transport tree canada,other-at,,"Montréal, Québec","45.5224507,-73.5912827",CA,fr,active,2011-10-28T14:57:11.734Z,,,,,200,donnees.ville.montreal.qc.ca,http://donnees.ville.montreal.qc.ca/,CKAN,200
25,459,sherbrooke_qc,"Sherbrooke, Québec",http://donnees.ville.sherbrooke.qc.ca/,Ville de Sherbrooke,Ville de Sherbrooke,,,,canada,,,"Sherbrooke, Québec","45.4029964,-71.887681",CA,fr,active,2014-02-14T22:51:42.079Z,,,,,0,donnees.ville.sherbrooke.qc.ca,http://donnees.ville.sherbrooke.qc.ca/,CKAN,0
26,342,offenedaten,OffeneDaten,http://offenedaten.de/,Open Knowledge Foundation Deutschland e.V.,Open Knowledge Foundation Deutschland e.V.,,,"A community-maintained open data catalog dedicated to Germany.

Maintainers: Friedrich Lindenberg, Daniel Dietrich

Alternative address: <http://de.ckan.net/>

Contact: see <http://okfn.de/about/kontakt/>.",community deutschland germany okfn ckan publicdata-eu,notspecified,,Germany,"51.0834196,10.4234469",DE,de,inactive,2011-10-03T16:53:33.714Z,,,,,200,offenedaten.de,https://offenedaten.de/,CKAN,0
27,210,eu-open-data,EU Open Data,http://open-data.europa.eu/,European Commission,European Commission,,,Open Data portal for the European Commission and other institutions of the European Union.,ckan eu-official,,,EU countries,"51.430595,20.763370",,,active,2013-01-21T09:34:02.507Z,,,,,403,EU Open Data Portal,http://data.europa.eu/euodp/en/data/,CKAN,403
28,145,data-catalogue-suisse-government,Offene Behördendaten der Schweiz,http://opendata.admin.ch/,Schweizerische Eidgenossenschaft,Schweizerische Eidgenossenschaft,,,National Open Data Portal of Switzerland launched in September 2013.,behördendaten eidgenossenschaft offene schweiz suisse switzerland,,,Switzerland,"46.7985624,8.2319736",sui,de fr it,active,2013-09-16T16:11:16.433Z,,,,,200,opendata.admin.ch,http://opendata.admin.ch/,CKAN,200
29,15,aragon-open-data,Aragón Open Data,http://opendata.aragon.es/,Gobierno de Aragón,Gobierno de Aragón,,,The Open Data portal of the Aragón Autonomous Region in Spain.,level.regional ckan eu-official spain,cc-by,,Aragón,"41.3787291,-0.7639373",ES,es,active,2013-02-06T12:40:58.881Z,CKAN: 2.1.1,http://opendata.aragon.es/catalogo/api,,,200,opendata.aragon.es,https://opendata.aragon.es/,CKAN,200
30,31,bari_open_data,Bari Open Data,http://opendata.comune.bari.it/,Comune di Bari,Comune di Bari,,,"Open data portal for the municipality of Bari, Italy",level.local ckan eu-official italy,,,"Bari, Italy","41.1256631,16.8619381",IT,it,active,2013-03-14T16:17:29.384Z,,,,,200,opendata.comune.bari.it,http://opendata.comune.bari.it/,CKAN,200
31,186,datos_misiones_gov_ar,datos.misiones.gov.ar,http://www.datos.misiones.gov.ar/,Government of the Province of Misiones,Government of the Province of Misiones,,,"Open Data Portal for Government of Misiones, Argentina",level.regional,,,"Misiones, Argentina","-26.737224,-54.4315257",AR,es,active,2013-03-18T11:49:43.857Z,,,,,200,www.datos.misiones.gov.ar,http://www.datos.misiones.gov.ar/,CKAN,200
32,340,odaa_denmark,Open Data Aarhus,http://www.odaa.dk/,Aarhus Municipality,Aarhus Municipality,,,"Open data portal for the city of Aarhus, Denmark. Part of smart city efforts. Launched April 2013
Part of Smart Aarhus, a partnership of Aarhus Kommune (the city gov), Region Midtjylland, Aarhus University and Alexandra Institute.",ckan eu-official,,,"Aarhus, Denmark","56.1496278,10.2134046",dnk,da,active,2013-08-29T08:19:37.986Z,,,,,200,www.odaa.dk,http://www.odaa.dk/,CKAN,200
33,380,opendata_hro,OpenData.HRO - Portal für offene Data der Hansestadt Rostock,http://www.opendata-hro.de/,"Hansestadt Rostock, Büro des Oberbürgermeisters","Hansestadt Rostock, Büro des Oberbürgermeisters",,,Central platform for publication open data of Hansestadt Rostock (city of Rostock).,level.local ckan germany,,,"Rostock, Germany","54.14736345,12.1090156",DE,de,active,2013-03-15T07:32:31.284Z,,,,,200,www.opendata-hro.de,http://www.opendata-hro.de/,CKAN,200
34,420,provincia-roma,Rome Province Data Portal,http://www.opendata.provincia.roma.it/,Province of Rome,Province of Rome,,,"CKAN based portal for the Province of Rome, Italy",level.regional ckan eu-official italy,odc-odbl,,Rome,"41.8933439,12.4830718",IT,it,active,2012-02-24T13:38:26.231Z,,,,,0,www.opendata.provincia.roma.it,http://www.opendata.provincia.roma.it/,CKAN,200
35,188,datos-gub-uy,datos.gub.uy - Catálogo de Datos Abiertos,https://catalogodatos.gub.uy/,State of Uruguay,State of Uruguay,,,Official Data Catalog for Uruguay.,,,,Uruguay,"-32.8755548,-56.0201525",,,active,2012-12-06T16:52:28.004Z,,,,,200,catalogodatos.gub.uy,https://catalogodatos.gub.uy/,CKAN,200
36,66,chicago,City of Chicago data portal,https://data.cityofchicago.org/,,,,,,level.local,,,Chicago,"41.8755546,-87.6244212",UK,en,active,2013-05-08T10:15:15.94Z,,,,,200,data.cityofchicago.org,https://data.cityofchicago.org,Socrata,200
37,373,open-raleigh,Open Raleigh,https://data.raleighnc.gov,Jason Hare,Jason Hare / Open Data Program Manager (Consultant),15/03/2013,Government,"Open Raleigh tracks city data related to critical key performance indicators including financial, public, demographics, planning and government. Each category will show detailed visualizations and access to the raw data. Developers will find documentation on using our API.",raleigh,Open Data Commons - Attribution,,"Raleigh, NC","35.843768,-78.6450559",US,en,active,,,,,,200,data.raleighnc.gov,https://data.raleighnc.gov,Socrata,200
38,46,bristol-city-council,Open Data Bristol,https://opendata.bristol.gov.uk/,Bristol City Council,Bristol City Council,,Government,"Bristol is using smart technologies and digital connectivity to meet the city’s environmental, social and economic challenges and opportunities and become a truly Smart City. Open Data Bristol is a key part of this as it opens up access to Bristol’s data in order to make it easier for citizens, researchers and developers to access, analyse and share information. This will allow new solutions to the city’s problems to be developed.",city unitedkingdom,,,"Bristol, England","51.455999,-2.587969",UK,en,active,,Socrata,,Socrata Open Data API (SODA),,200,opendata.bristol.gov.uk,https://opendata.bristol.gov.uk/,OpenDataSoft,200
39,392,opendataphilly,OpenDataPhilly,https://www.opendataphilly.org/,OpenDataPhilly,OpenDataPhilly,,,"Data on the Philadelphia region.

OpenDataPhilly is a catalog developed by Azavea, a Philadelphia geospatial firm, in collaboration with the City of Philadelphia Office of Information Technology, WHYY, Technically Philly, NPower, the William Penn Foundation and other partners.",ctic level.local unitedstates,,,"Philadelphia County, Pennsylvania","40.0114538,-75.1326504",US,en,active,2011-06-27T18:15:21.373Z,,,,,200,www.opendataphilly.org,https://www.opendataphilly.org/,CKAN,200
